"age","rel_status","gender","gender_3_TEXT","sex","transgender","transgender_4_TEXT","sexual_attraction","sexual_attraction_4_TEXT","romantic_attraction","romantic_attraction_4_TEXT","attn_check","sex_orient_best","sex_orient_best_9_TEXT","sex_orient_multi","sex_orient_multi_9_TEXT","romantic_orient_best","romantic_orient_best_7_TEXT","rom_orient_multi","rom_orient_multi_7_TEXT","pref_check_1","pref_check_2","pref_check_3","pref_check_4","race","education","sex_with_males","sex_with_females","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","PIN","sexuality","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","ageLik","m_Lt_AgeLik","f_Lt_AgeLik"
"40","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","7","2","1",6,6,7,7,5,6,7,7,7,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",1,6,7,5.5,7,6.5,NA,NA,NA,NA,NA,4,NA,-2
"33","4","0","","0","1","","2","","2","","1","1","","1","","1","","9","","1","1","1","1","6","3","1","1",7,7,7,6,6,7,7,7,6,6,2,7,6,7,6,6,8,8,7,7,8,3,"143",0,7,6.5,6.5,7,6,6.5,6.5,7,7.5,7.5,3,0,-1
"31","0","1","","1","1","","2","","3","","1","1","","1,4","","2","","8,10","","2","2","1","1","6","5","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"28","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","1","6","2","1",5,5,7,5,4,8,7,7,6,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"243",1,5,6,6,7,6.5,NA,NA,NA,NA,NA,2,NA,0
"51","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","2","3","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,10,10,9,5,10,4,6,"55",1,NA,NA,NA,NA,NA,6,5.5,10,7,7,6,0,NA
"40","1","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","5","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,7,8,10,10,9,10,10,10,4,"77",1,NA,NA,NA,NA,NA,9.5,7.5,10,9.5,10,4,0,NA
"42","4","0","","0","1","","3","","2","","1","0","","","","6","","","","1","1","1","1","6","8","1","2",7,7,8,8,8,7,8,8,9,9,4,7,7,8,8,8,8,7,7,9,9,4,"16",0,7,8,7.5,8,9,7,8,8,7,9,4,0,0
"24","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","3","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,7,8,6,5,6,5,2,"308",1,NA,NA,NA,NA,NA,6,5,7.5,5.5,5.5,1,1,NA
"30","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","3","2","1",8,7,6,7,9,10,7,7,8,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"260",1,7.5,6.5,9.5,7,7,NA,NA,NA,NA,NA,2,NA,0
"33","2","0","","0","1","","0","","0","","1","4","","9","Bi-curious","3","","11","","1","2","1","1","6","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,7,7,5,5,5,5,3,"432",1,NA,NA,NA,NA,NA,5,6,7,5,5,3,0,NA
